y,t
5.493689640031294,0.2581787157143367
5.427416802568729,-0.7903249891429791
2.5957278032779536,-2.9920925260484657
-2.7682391951102887,-8.099085296550339
4.44505999124289,-1.326579121559197
8.82875085750629,4.184703954581499
-2.9443247093129354,-7.680635348744986
-3.5593049753212678,-8.438306356984333
2.228457999702625,-2.6149418356897964
-3.9802154202240274,-9.327432438418004
-2.1188068795744126,-6.156992491407783
4.9546317086933325,-0.5728030905932204
-2.300988118339931,-7.101543600252617
9.307574713122753,4.356710554266678
7.79359111473645,3.234285560079984
3.1937903207238514,-1.362591735721841
4.303236510004866,-1.0793022769872564
4.947760696424626,0.16663067516248198
5.003396401422507,0.5617574558415246
6.03242198854278,1.457560328514111
2.4207250219709726,-2.7835586633456675
1.0605990066305857,-3.270454850639428
-1.4556289000445948,-6.534674696873256
-3.096999865618752,-8.277630348819136
2.6304308708244863,-2.133272603216242
11.358429048442082,6.087357744615225
-5.143167335848978,-9.77838625189773
0.23615669383315208,-5.337735645164613
13.58831462050204,8.677011718357452
0.0944866892365136,-5.464049566287571
10.53303094377349,5.718939404803766
3.3789693568024424,-1.7854234631105435
-1.8187583043782631,-7.612144498905234
6.961944209921785,2.6874068997276055
12.76181557204113,7.247763721853385
-2.4380182798326717,-6.835126810164716
6.083027312562155,2.0237015616259075
-2.2168483473403287,-7.647853753365508
7.387425622245142,2.5219671859042574
11.45831385876775,6.702493492841018
20.0,-9.5
-15.0,9.0
